"","Climate_Scenario","Mgmt_Scenario","Scenario_Name","mean_CottonYld_Mgha","mean_SorghumYld_Mgha","mean_SOC_Mgha","mean_N2O_Mgha","mean_CH4_Mgha","mean_CO2e_SOC","mean_CO2e_N2O","mean_CO2e_CH4","mean_GWP","sd_CottonYld_Mgha","sd_SorghumYld_Mgha","sd_SOC_Mgha","sd_N2O_Mgha","sd_CH4_Mgha","sd_CO2e_SOC","sd_CO2e_N2O","sd_CO2e_CH4","sd_GWP","scenario_abbrev"
"1",1,3,"1_3",-0.09028,0.35482,0.07866,0.00782,-0.02762,-0.28845,2.33094,-0.77339,1.26909,0.21513,0.12262,0.87432,0.0026,0,3.20617,0.77523,0,2.80411,"CC-CR"
"2",1,7,"1_7",-0.06959,NA,-1.34774,0.00643,-0.05972,4.94219,1.91502,-1.67222,5.185,0.09375,NA,2.26702,0.0016,0,8.31323,0.47799,0,8.42096,"CN"
"3",1,8,"1_8",-0.09415,0.45066,0.30458,0.00678,-0.11867,-1.11689,2.02073,-3.32271,-2.41888,0.04638,0.01406,2.53103,0.00168,0,9.28139,0.50117,0,9.00796,"NT-CC-CR"
"4",1,41,"1_41",-0.08593,0.44768,-1.26592,0.00587,-0.05217,4.64218,1.74938,-1.46078,4.93079,0.00186,0.13695,1.85535,0.00214,0,6.80363,0.63799,0,6.88916,"RF05-CR"
"5",1,42,"1_42",-0.06847,0.42771,-1.30044,0.00572,-0.05331,4.76875,1.70529,-1.49265,4.98139,0.01884,0.16494,1.91182,0.00213,0,7.01072,0.634,0,7.11977,"RF15-CR"
"6",1,43,"1_43",-0.05197,0.41532,-1.38235,0.00557,-0.05444,5.06912,1.6604,-1.52438,5.20515,0.03977,0.20821,1.93167,0.00211,0,7.08349,0.62899,0,7.21652,"RF25-CR"
"7",1,44,"1_44",-0.04478,0.39242,-1.46169,0.00542,-0.05561,5.36008,1.61528,-1.55707,5.41829,0.04615,0.23601,1.93404,0.00209,0,7.09218,0.62343,0,7.22364,"RF35-CR"
"8",1,51,"1_51",-0.01431,0.27478,-0.79659,0.00551,-0.06255,2.92112,1.64219,-1.75126,2.81205,0.11244,0.31853,1.12198,0.00257,0,4.11435,0.76674,0,4.23968,"RR50-CR"
"9",1,52,"1_52",-0.04973,0.33974,-0.93986,0.00569,-0.05839,3.44649,1.69601,-1.63481,3.50769,0.06086,0.2963,1.63967,0.00243,0,6.01271,0.72301,0,6.03813,"RR25-CR"
"10",1,53,"1_53",-0.08349,0.4568,-1.22324,0.00595,-0.05161,4.48568,1.77197,-1.44512,4.81253,0.00101,0.12231,1.85226,0.00215,0,6.79231,0.63998,0,6.89225,"RR00-CR"
"11",1,54,"1_54",0.00036,0.24136,-0.81336,0.00456,-0.14741,2.98262,1.35929,-4.12759,0.21432,0.12196,0.28814,2.1731,0.00176,0,7.96882,0.52489,0,7.86713,"RR50-NT-CR"
