"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"Daycent",1,3,"1_3",NA,NA,NA,2,11.0445249,0.0184605337931032,13.7817539,-0.0824571226053595,10.9,0.0694292222222215,0.774862290598321,0.0110445249,0.0137817539,-7.33333333333333,4.7381011821,0.4961431404,"CC-CR",-2.09908901083333
"Daycent",1,41,"1_41",NA,NA,NA,1.2,11.0886127,0.033910755862069,5.0251019,0.261342750191572,10.3,-0.060061666666674,1.49319705982911,0.0110886127,0.0050251019,-4.4,4.7570148483,0.1809036684,"RF05-CR",0.5379185167
"Daycent",1,42,"1_42",NA,NA,NA,0.899999999999999,10.9034251,0.0306054910344828,2.6246101,0.219380506513411,10,-0.0695961111111183,1.3581406495727,0.0109034251,0.0026246101,-3.3,4.6775693679,0.0944859636,"RF15-CR",1.4720553315
"Daycent",1,43,"1_43",NA,NA,NA,0.599999999999998,10.618586,0.0239487420689657,0.1434132,0.178936566283524,9.7,-0.0777878888888939,1.22311494017099,0.010618586,0.0001434132,-2.19999999999999,4.555373394,0.0051628752,"RF25-CR",2.36053626920001
"Daycent",1,44,"1_44",NA,NA,NA,0.299999999999997,10.3259067,0.0166708772413795,-2.444161,0.135499413793101,9.4,-0.0869598888888943,1.07743938461543,0.0103259067,-0.002444161,-1.09999999999999,4.4298139743,-0.087989796,"RF35-CR",3.24182417830001
"Daycent",1,51,"1_51",NA,NA,NA,1.4,10.9604813,0.0126376537931032,-9.07816,-0.122583637547885,9.2,-0.111137666666671,0.762618940170974,0.0109604813,-0.00907816,-5.13333333333333,4.7020464777,-0.32681376,"RR50-CR",-0.758100615633333
"Daycent",1,52,"1_52",NA,NA,NA,2.2,10.8372343,0.012395216551724,-2.4283598,0.00594696245211531,10.6,-0.109337000000005,1.00471767521371,0.0108372343,-0.0024283598,-8.06666666666667,4.6491735147,-0.0874209528,"RR25-CR",-3.50491410476667
"Daycent",1,53,"1_53",NA,NA,NA,1.3,11.2236912,0.0374310000000005,6.1839158,0.280567438314181,10.4,-0.0564207777777845,1.55714591452997,0.0112236912,0.0061839158,-4.76666666666667,4.8149635248,0.2226209688,"RR00-CR",0.270917826933333
"Daycent",1,54,"1_54",NA,NA,NA,3.6,8.79779,-0.00023295310344898,-114.4593755,-0.367914687356282,12.1,-0.216057111111116,0.655985777777815,0.00879779,-0.1144593755,-13.2,3.77425191,-4.120537518,"RR50-NT-CR",-13.546285608
"Daycent",1,55,"1_55",NA,NA,NA,4.5,8.8398314,0.0164637531034477,-106.0162002,-0.378083976245165,13.2,-0.20567433333334,0.673495726495766,0.0088398314,-0.1060162002,-16.5,3.7922876706,-3.8165832072,"RR25-NT-CR",-16.5242955366
"Daycent",1,56,"1_56",NA,NA,NA,5.4,8.973758,0.0171956289655166,-97.2815112,-0.37863855095781,14.4,-0.178075333333341,0.681349948717994,0.008973758,-0.0972815112,-19.8,3.849742182,-3.5021344032,"RR00-NT-CR",-19.4523922212
"Daycent",1,7,"1_7",NA,NA,NA,-0.199999999999999,8.2183812,0.0251416800000006,-26.2224221,0.145885281992361,8.2,0.17101321072797,NA,0.0082183812,-0.0262224221,0.73333333333333,3.5256855348,-0.9440071956,"CN",3.31501167253333
"Daycent",1,8,"1_8",NA,NA,NA,5.1,8.3650049,0.00352772551724045,-100.1295045,-0.270154668199182,14.3,-0.168119777777781,0.728100102564142,0.0083650049,-0.1001295045,-18.7,3.5885871021,-3.604662162,"CC-NT-CR",-18.7160750599
