"scenario_descriptor","climate_scenario_num","mgmt_scenario_grp","mgmt_scenario_opt","scenario_name","scenario_abbrev","climate_esm","climate_esm_scenario"
"Crop Rotation",1,1,"","1_1","CR","Baseline","Baseline"
"No Till, Crop Rotation",1,2,"","1_2","NT-CR","Baseline","Baseline"
"Cover Crop, Crop Rotation",1,3,"","1_3","CC-CR","Baseline","Baseline"
"Redu Fert 5%, Crop Rotation",1,4,"1","1_41","RF05-CR","Baseline","Baseline"
"Redu Fert 15%, Crop Rotation",1,4,"2","1_42","RF15-CR","Baseline","Baseline"
"Redu Fert 25%, Crop Rotation",1,4,"3","1_43","RF25-CR","Baseline","Baseline"
"Redu Fert 35%, Crop Rotation",1,4,"4","1_44","RF35-CR","Baseline","Baseline"
"Redu Fert 5%, Crop Rotation",1,4,"1","1_45","RF05-NT-CR","Baseline","Baseline"
"Redu Fert 15%, No Till, Crop Rotation",1,4,"2","1_46","RF15-NT-CR","Baseline","Baseline"
"Redu Fert 25%, No Till, Crop Rotation",1,4,"3","1_47","RF25-NT-CR","Baseline","Baseline"
"Redu Fert 35%, No Till, Crop Rotation",1,4,"4","1_48","RF35-NT-CR","Baseline","Baseline"
"Rmv Resid 50%, Crop Rotation",1,5,"1","1_51","RR50-CR","Baseline","Baseline"
"Rmv Resid 25%, Crop Rotation",1,5,"2","1_52","RR25-CR","Baseline","Baseline"
"Rmv Resid 0%, Crop Rotation",1,5,"3","1_53","RR00-CR","Baseline","Baseline"
"Rmv Resid 50%, No Till, Crop Rotation",1,5,"1","1_54","RR50-NT-CR","Baseline","Baseline"
"Rmv Resid 25%, No Till, Crop Rotation",1,5,"2","1_55","RR25-NT-CR","Baseline","Baseline"
"Rmv Resid 0%, No Till, Crop Rotation",1,5,"3","1_56","RR00-NT-CR","Baseline","Baseline"
"Biochar 19 Mgha, Crop Rotation",1,6,"1","1_61","BC19-CR","Baseline","Baseline"
"Biochar 38 Mgha, Crop Rotation",1,6,"2","1_62","BC38-CR","Baseline","Baseline"
"Biochar 57 Mgha, Crop Rotation",1,6,"3","1_63","BC57-CR","Baseline","Baseline"
"Biochar 76 Mgha, Crop Rotation",1,6,"4","1_64","BC76-CR","Baseline","Baseline"
"Biochar 96 Mgha, Crop Rotation",1,6,"5","1_65","BC96-CR","Baseline","Baseline"
"Biochar 19 Mgha, No Till, Crop Rotation",1,6,"1","1_66","BC19-NT-CR","Baseline","Baseline"
"Biochar 38 Mgha, No Till, Crop Rotation",1,6,"2","1_67","BC38-NT-CR","Baseline","Baseline"
"Biochar 57 Mgha, No Till, Crop Rotation",1,6,"3","1_68","BC57-NT-CR","Baseline","Baseline"
"Biochar 76 Mgha, No Till, Crop Rotation",1,6,"4","1_69","BC76-NT-CR","Baseline","Baseline"
"Biochar 96 Mgha, No Till, Crop Rotation",1,6,"5","1_610","BC96-NT-CR","Baseline","Baseline"
"Contintuous Crop",1,7,"","1_7","CN","Baseline","Baseline"
"No Till, Cover Crop, Crop Rotation",1,8,"","1_8","NT-CC-CR","Baseline","Baseline"
"Crop Rotation",2,1,"","2_1","CR","GFDL_ESM4","SSP1-2.6"
"No Till, Crop Rotation",2,2,"","2_2","NT-CR","GFDL_ESM4","SSP1-2.6"
