"","Climate_Scenario","Mgmt_Scenario","Scenario_Name","mean_CottonYld_Mgha","mean_SorghumYld_Mgha","mean_SOC_Mgha","mean_N2O_Mgha","mean_CH4_Mgha","mean_CO2e_SOC","mean_CO2e_N2O","mean_CO2e_CH4","mean_GWP","sd_CottonYld_Mgha","sd_SorghumYld_Mgha","sd_SOC_Mgha","sd_N2O_Mgha","sd_CH4_Mgha","sd_CO2e_SOC","sd_CO2e_N2O","sd_CO2e_CH4","sd_GWP","scenario_abbrev"
"1",1,2,"1_2",-0.05194,-0.80567,2.2,0.00527,NA,-8.06747,1.57013,NA,-6.49734,-0.05194,-0.80567,NA,NA,NA,NA,NA,NA,NA,"NT-CR"
"2",1,3,"1_3",-0.00526,0.16955,1.05,0.01516,-0.12941,-3.85039,4.51727,-3.62334,-2.95645,-0.00526,0.16955,0.6364,0.00647,0,2.33369,1.92817,0,0.40551,"CC-CR"
"3",1,7,"1_7",0.03977,-0.00494,0.4,0.01391,-0.12693,-1.46681,4.14625,-3.55414,-0.8747,0.03977,-0.00494,0.42426,0.00681,0,1.55579,2.02801,0,3.5838,"CN"
"4",1,8,"1_8",0.03909,0.15068,2.65,0.01189,-0.32542,-9.71764,3.54351,-9.11174,-15.28587,0.03909,0.15068,2.6163,0.00258,0,9.59404,0.76864,0,8.8254,"NT-CC-CR"
"5",1,41,"1_41",0.08162,0.17253,0.1,0.01262,-0.12957,-0.3667,3.76035,-3.62792,-0.23427,0.08162,0.17253,0.42426,0.00878,0,1.55579,2.61696,0,4.17275,"RF05-CR"
"6",1,42,"1_42",0.07444,0.17534,-0.1,0.01221,-0.13295,0.3667,3.63962,-3.72255,0.28377,0.07444,0.17534,0.56569,0.00856,0,2.07439,2.55115,0,4.62554,"RF15-CR"
"7",1,43,"1_43",0.0775,0.16287,-0.2,0.01184,-0.13639,0.73341,3.52737,-3.81905,0.44172,0.0775,0.16287,0.70711,0.00825,0,2.59298,2.45739,0,5.05038,"RF25-CR"
"8",1,44,"1_44",0.08325,0.13162,-0.3,0.0114,-0.14001,1.10011,3.39643,-3.92018,0.57636,0.08325,0.13162,0.84853,0.00801,0,3.11158,2.38819,0,5.49977,"RF35-CR"
"9",1,51,"1_51",0.02089,0.08525,-0.35,0.01202,-0.15455,1.28346,3.58261,-4.32739,0.53867,0.02089,0.08525,0.91924,0.01001,0,3.37088,2.98256,0,6.35344,"RR50-CR"
"10",1,52,"1_52",0.0504,0.12906,0.05,0.01238,-0.14547,-0.18335,3.6879,-4.07309,-0.56853,0.0504,0.12906,0.21213,0.00965,0,0.7779,2.87449,0,3.65238,"RR25-CR"
"11",1,53,"1_53",0.04655,0.18124,-0.15,0.01458,-0.12786,0.55006,4.3445,-3.58019,1.31437,0.04655,0.18124,0.07071,0.00637,0,0.2593,1.89929,0,1.63999,"RR00-CR"
"12",1,54,"1_54",0.01037,-0.00242,1.3,0.00987,-0.33877,-4.76714,2.93988,-9.48561,-11.31287,0.01037,-0.00242,1.41421,0.00767,0,5.18597,2.28629,0,2.89968,"RR50-NT-CR"
"13",1,55,"1_55",0.02414,0.19881,1.9,0.01025,-0.33032,-6.96736,3.05309,-9.24902,-13.1633,0.02414,0.19881,1.9799,0.00703,0,7.26036,2.09623,0,5.16413,"RR25-NT-CR"
"14",1,56,"1_56",0.03653,0.18444,2.55,0.01076,-0.32129,-9.35094,3.20719,-8.99607,-15.13982,0.03653,0.18444,2.47487,0.00621,0,9.07544,1.85162,0,7.22382,"RR00-NT-CR"
"15",1,61,"1_61",-0.03173,0.0696,-0.6,0.00642,NA,2.20022,1.91227,NA,4.11249,-0.03173,0.0696,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
"16",1,62,"1_62",-0.06391,0.0901,-0.8,0.00639,NA,2.93363,1.90305,NA,4.83668,-0.06391,0.0901,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
"17",1,63,"1_63",-0.09501,0.13622,-1.5,0.00637,NA,5.50055,1.89863,NA,7.39918,-0.09501,0.13622,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
"18",1,64,"1_64",-0.07877,0.10806,-2.2,0.00623,NA,8.06747,1.8562,NA,9.92367,-0.07877,0.10806,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
"19",1,65,"1_65",-0.09081,-0.00494,-2.3,0.00617,NA,8.43418,1.83748,NA,10.27165,-0.09081,-0.00494,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
"20",2,3,"2_3",0.03266,0.01725,0.8,0.01476,-0.12436,-2.93363,4.39773,-3.48197,-2.01786,0.03266,0.01725,0.42426,0.00754,0,1.55579,2.24606,0,0.69027,"CC-CR"
"21",2,7,"2_7",0.11701,0.21384,0.3,0.01394,-0.12631,-1.10011,4.15537,-3.53656,-0.4813,0.11701,0.21384,0.98995,0.00728,0,3.63018,2.16822,0,5.79839,"CN"
"22",2,8,"2_8",0.08389,-0.02404,2.4,0.01145,-0.3085,-8.80088,3.41264,-8.63797,-14.02621,0.08389,-0.02404,2.68701,0.00308,0,9.85334,0.91721,0,8.93613,"NT-CC-CR"
"23",2,41,"2_41",0.01899,0.12442,-0.1,0.01265,-0.12903,0.3667,3.77073,-3.61286,0.52458,0.01899,0.12442,0.84853,0.00944,0,3.11158,2.81307,0,5.92465,"RF05-CR"
"24",2,42,"2_42",0.01746,0.10686,-0.2,0.01221,-0.1319,0.73341,3.63884,-3.69333,0.67892,0.01746,0.10686,0.98995,0.00926,0,3.63018,2.7609,0,6.39108,"RF15-CR"
"25",2,43,"2_43",0.01692,0.081,-0.4,0.01183,-0.13482,1.46681,3.5258,-3.77487,1.21774,0.01692,0.081,0.98995,0.00909,0,3.63018,2.70994,0,6.34011,"RF25-CR"
