forc_st	forc_sw	forc_npp	date	crop
14.9	0.1298	0	1940-01-01	cotton
14.22	0.1308	0	1940-01-02	cotton
14.46	0.1302	0	1940-01-03	cotton
11.2	0.1287	0	1940-01-04	cotton
8.8	0.1268	0	1940-01-05	cotton
7.46	0.1252	0	1940-01-06	cotton
6.9	0.1237	0	1940-01-07	cotton
6.5	0.1219	0	1940-01-08	cotton
7.4	0.1202	0	1940-01-09	cotton
7.3	0.1183	0	1940-01-10	cotton
7.91	0.1161	0	1940-01-11	cotton
8.14	0.1144	0	1940-01-12	cotton
8.59	0.1164	0	1940-01-13	cotton
7.8	0.12	0	1940-01-14	cotton
7.81	0.1248	0	1940-01-15	cotton
7.17	0.1266	0	1940-01-16	cotton
6.75	0.1262	0	1940-01-17	cotton
8.03	0.1243	0	1940-01-18	cotton
7.43	0.1213	0	1940-01-19	cotton
6.56	0.1185	0	1940-01-20	cotton
6.76	0.1162	0	1940-01-21	cotton
7.93	0.1135	0	1940-01-22	cotton
8.87	0.1103	0	1940-01-23	cotton
9.69	0.1078	0	1940-01-24	cotton
10.59	0.1063	0	1940-01-25	cotton
9.4	0.1052	0	1940-01-26	cotton
8.26	0.1045	0	1940-01-27	cotton
7.72	0.1038	0	1940-01-28	cotton
8.02	0.1033	0	1940-01-29	cotton
7.46	0.1029	0	1940-01-30	cotton
6.38	0.1025	0	1940-01-31	cotton
5.5	0.1022	0	1940-02-01	cotton
5.69	0.1019	0	1940-02-02	cotton
5.28	0.1017	0	1940-02-03	cotton
4.92	0.1015	0	1940-02-04	cotton
6.28	0.1013	0	1940-02-05	cotton
7.46	0.1012	0	1940-02-06	cotton
8.39	0.1011	0	1940-02-07	cotton
9.16	0.101	0	1940-02-08	cotton
8.44	0.1009	0	1940-02-09	cotton
7.64	0.1008	0	1940-02-10	cotton
7.92	0.1032	0	1940-02-11	cotton
8.2	0.1031	0	1940-02-12	cotton
8.11	0.1019	0	1940-02-13	cotton
6.57	0.1014	0	1940-02-14	cotton
6.27	0.1011	0	1940-02-15	cotton
6.56	0.1009	0	1940-02-16	cotton
7.3	0.1008	0	1940-02-17	cotton
8.13	0.1007	0	1940-02-18	cotton
8.31	0.1006	0	1940-02-19	cotton
8.34	0.1005	0	1940-02-20	cotton
8.93	0.1005	0	1940-02-21	cotton
8.67	0.1004	0	1940-02-22	cotton
8.31	0.1003	0	1940-02-23	cotton
8.78	0.1003	0	1940-02-24	cotton
9.45	0.1002	0	1940-02-25	cotton
9.9	0.1002	0	1940-02-26	cotton
10.68	0.1001	0	1940-02-27	cotton
11.15	0.1001	0	1940-02-28	cotton
10.16	0.1	0	1940-02-29	cotton
9.24	0.1	0	1940-03-01	cotton
9.53	0.0999	0	1940-03-02	cotton
10.2	0.0999	0	1940-03-03	cotton
10.84	0.0998	0	1940-03-04	cotton
11.5	0.0998	0	1940-03-05	cotton
11.62	0.0998	0	1940-03-06	cotton
10.06	0.0997	0	1940-03-07	cotton
10.59	0.0997	0	1940-03-08	cotton
11.2	0.0996	0	1940-03-09	cotton
11.66	0.0996	0	1940-03-10	cotton
10.41	0.0996	0	1940-03-11	cotton
8.71	0.0995	0	1940-03-12	cotton
9.25	0.0995	0	1940-03-13	cotton
9.64	0.0994	0	1940-03-14	cotton
9.98	0.0994	0	1940-03-15	cotton
10.93	0.0994	0	1940-03-16	cotton
11.74	0.0993	0	1940-03-17	cotton
10.57	0.0993	0	1940-03-18	cotton
11.2	0.0993	0	1940-03-19	cotton
10.98	0.0992	0	1940-03-20	cotton
11.27	0.0992	0	1940-03-21	cotton
12.05	0.0991	0	1940-03-22	cotton
12.63	0.0991	0	1940-03-23	cotton
13.77	0.099	0	1940-03-24	cotton
14.27	0.099	0	1940-03-25	cotton
13.46	0.099	0	1940-03-26	cotton
13.12	0.099	0	1940-03-27	cotton
12.54	0.0989	0	1940-03-28	cotton
12.65	0.0989	0	1940-03-29	cotton
15.12	0.0989	0	1940-03-30	cotton
16.31	0.0989	0	1940-03-31	cotton
17.54	0.0989	0	1940-04-01	cotton
18.8	0.0988	0	1940-04-02	cotton
18.54	0.0988	0	1940-04-03	cotton
16.81	0.0988	0	1940-04-04	cotton
17.01	0.0988	0	1940-04-05	cotton
18.41	0.0988	0	1940-04-06	cotton
19.5	0.0988	0	1940-04-07	cotton
21.04	0.0987	0	1940-04-08	cotton
21.01	0.0987	0	1940-04-09	cotton
19.94	0.0987	0	1940-04-10	cotton
20.18	0.0987	0	1940-04-11	cotton
19.72	0.1188	0	1940-04-12	cotton
17.52	0.1218	0	1940-04-13	cotton
17.09	0.1236	0	1940-04-14	cotton
17.54	0.1267	0	1940-04-15	cotton
18.19	0.1288	0	1940-04-16	cotton
19.44	0.1295	0	1940-04-17	cotton
19.25	0.1226	0	1940-04-18	cotton
19.31	0.1141	0	1940-04-19	cotton
19.98	0.1091	0	1940-04-20	cotton
21.72	0.1063	0	1940-04-21	cotton
22.62	0.1045	0	1940-04-22	cotton
23.09	0.1034	0	1940-04-23	cotton
22.34	0.1025	0	1940-04-24	cotton
21.8	0.1018	0	1940-04-25	cotton
22.62	0.1013	0	1940-04-26	cotton
23.25	0.1008	0	1940-04-27	cotton
23.6	0.1004	0	1940-04-28	cotton
23.26	0.1001	0	1940-04-29	cotton
23.62	0.0997	0	1940-04-30	cotton
24.56	0.0986	0	1940-05-01	cotton
