"forc_st" "forc_sw" "forc_npp" "month" "day"
6.4715 0.2489 0.00746 1 1
6.5175 0.2486 0.00746 1 2
6.4957 0.2482 0.00746 1 3
6.4169 0.2482 0.00746 1 4
6.2859 0.2477 0.00746 1 5
6.2284 0.2476 0.00746 1 6
6.1678 0.2476 0.00746 1 7
6.1865 0.2477 0.00746 1 8
6.2756 0.2471 0.00746 1 9
6.3282 0.2467 0.00746 1 10
6.2819 0.2469 0.00746 1 11
6.1684 0.2474 0.00746 1 12
6.0855 0.248 0.00746 1 13
6.0105 0.2478 0.00746 1 14
5.9131 0.2473 0.00746 1 15
5.9094 0.2475 0.00746 1 16
6.0318 0.2483 0.00746 1 17
6.2127 0.2488 0.00746 1 18
6.3252 0.2489 0.00746 1 19
6.3794 0.2488 0.00746 1 20
6.4136 0.2489 0.00746 1 21
6.433 0.2486 0.00746 1 22
6.4073 0.2484 0.00746 1 23
6.3919 0.2479 0.00746 1 24
6.3318 0.2475 0.00746 1 25
6.2939 0.2471 0.00746 1 26
6.352 0.2469 0.00746 1 27
6.4019 0.2472 0.00746 1 28
6.4763 0.2472 0.00746 1 29
6.4669 0.2471 0.00746 1 30
6.4575 0.247 0.00746 1 31
6.3626 0.2471 0.00746 2 1
6.2651 0.2475 0.00746 2 2
6.112 0.2479 0.00746 2 3
6.0451 0.2479 0.00746 2 4
6.1138 0.2474 0.00746 2 5
6.2647 0.2472 0.00746 2 6
6.2899 0.247 0.00746 2 7
6.2848 0.2469 0.00746 2 8
6.285 0.2468 0.00746 2 9
6.3285 0.2463 0.00746 2 10
6.3921 0.246 0.00746 2 11
6.5028 0.2458 0.00746 2 12
6.6484 0.2459 0.00746 2 13
6.7493 0.2456 0.00746 2 14
6.7843 0.2454 0.00746 2 15
6.8079 0.2459 0.00746 2 16
6.8447 0.2463 0.00746 2 17
6.8272 0.2462 0.00746 2 18
6.7682 0.246 0.00746 2 19
6.7425 0.2459 0.00746 2 20
6.8026 0.2457 0.00746 2 21
6.8565 0.2454 0.00746 2 22
6.9636 0.2452 0.00746 2 23
7.1232 0.2451 0.00746 2 24
7.1996 0.245 0.00746 2 25
7.3042 0.2447 0.00746 2 26
7.4166 0.2445 0.00746 2 27
7.5132 0.2447 0.00746 2 28
7.4497 0.2452 0.00746 2 29
7.3862 0.2457 0.00746 3 1
7.3671 0.2461 0.00746 3 2
7.4155 0.2468 0.00746 3 3
7.5651 0.2476 0.00746 3 4
7.7115 0.2474 0.00746 3 5
7.8138 0.2472 0.00746 3 6
7.8821 0.2469 0.00746 3 7
7.8827 0.2466 0.00746 3 8
7.8781 0.2469 0.00746 3 9
7.943 0.247 0.00746 3 10
8.1045 0.2471 0.00746 3 11
8.276 0.2474 0.00746 3 12
8.4011 0.2481 0.00746 3 13
8.5361 0.2484 0.00746 3 14
8.6895 0.2484 0.00746 3 15
8.7467 0.2486 0.00746 3 16
8.7636 0.2485 0.00746 3 17
8.8096 0.2484 0.00746 3 18
8.8744 0.2478 0.00746 3 19
9.0242 0.2473 0.00746 3 20
9.0731 0.2478 0.00746 3 21
9.0148 0.2476 0.00746 3 22
8.9453 0.2479 0.00746 3 23
8.9796 0.2478 0.00746 3 24
9.1032 0.2475 0.00746 3 25
9.2565 0.2475 0.00746 3 26
9.3069 0.2477 0.00746 3 27
9.3132 0.2477 0.00746 3 28
9.339 0.2473 0.00746 3 29
9.4076 0.2472 0.00746 3 30
9.4763 0.2471 0.00746 3 31
9.6149 0.2475 0.00746 4 1
9.6611 0.2483 0.00746 4 2
9.7392 0.2485 0.00746 4 3
9.8308 0.2487 0.00746 4 4
10.007 0.2491 0.00746 4 5
10.01068 0.2493 0.00746 4 6
10.01074 0.2493 0.00746 4 7
10.01523 0.2494 0.00746 4 8
10.3384 0.2495 0.00746 4 9
10.01358 0.2495 0.00746 4 10
10.7275 0.2496 0.00746 4 11
10.8561 0.2499 0.00746 4 12
10.8965 0.25 0.00746 4 13
10.8787 0.2505 0.00746 4 14
10.8834 0.2505 0.00746 4 15
10.8706 0.2501 0.00746 4 16
10.887 0.2492 0.00746 4 17
10.9318 0.2487 0.00746 4 18
10.9761 0.2481 0.00746 4 19
11.0607 0.2479 0.00746 4 20
11.1261 0.2474 0.00746 4 21
11.2539 0.2473 0.00746 4 22
11.3351 0.2475 0.00746 4 23
11.3242 0.2476 0.00746 4 24
11.3929 0.2473 0.00746 4 25
11.5597 0.2473 0.00746 4 26
11.6977 0.2475 0.00746 4 27
11.7277 0.2477 0.00746 4 28
11.7142 0.2479 0.00746 4 29
11.7007 0.2481 0.00746 4 30
11.7413 0.2479 0.00746 5 1
11.8304 0.2473 0.00746 5 2
11.9488 0.2467 0.00746 5 3
12.0877 0.246 0.00746 5 4
12.1396 0.2454 0.00746 5 5
12.1953 0.2457 0.00746 5 6
12.3169 0.246 0.00746 5 7
12.4471 0.2456 0.00746 5 8
12.4343 0.2451 0.00746 5 9
12.4514 0.2453 0.00746 5 10
12.5287 0.2454 0.00746 5 11
12.5288 0.2457 0.00746 5 12
12.587 0.246 0.00746 5 13
12.7156 0.2462 0.00746 5 14
12.8639 0.2458 0.00746 5 15
12.9829 0.2455 0.00746 5 16
13.0716 0.2453 0.00746 5 17
13.1331 0.2449 0.00746 5 18
13.1598 0.2444 0.00746 5 19
13.2571 0.2439 0.00746 5 20
13.2993 0.2435 0.00746 5 21
13.3324 0.2431 0.00746 5 22
13.4057 0.2431 0.00746 5 23
13.4826 0.2434 0.00746 5 24
13.5586 0.2432 0.00746 5 25
13.5983 0.243 0.00746 5 26
13.7108 0.243 0.00746 5 27
13.8714 0.2427 0.00746 5 28
13.9764 0.2424 0.00746 5 29
14.0814 0.2421 0.00746 5 30
14.1156 0.2417 0.00746 5 31
14.1909 0.2419 0.00746 6 1
14.3371 0.2414 0.00746 6 2
14.4604 0.2412 0.00746 6 3
14.4698 0.2409 0.00746 6 4
14.4954 0.2401 0.00746 6 5
14.5299 0.2394 0.00746 6 6
14.5304 0.2389 0.00746 6 7
14.4596 0.2386 0.00746 6 8
14.4633 0.2381 0.00746 6 9
14.5473 0.2379 0.00746 6 10
14.6751 0.2379 0.00746 6 11
14.7495 0.238 0.00746 6 12
14.8633 0.2385 0.00746 6 13
14.9785 0.2386 0.00746 6 14
15.0014 0.2383 0.00821 6 15
15.0324 0.2379 0.03335 6 16
15.1726 0.2378 0.02007 6 17
15.2799 0.2373 0.02552 6 18
15.2856 0.2371 0.00856 6 19
15.3071 0.2369 0.01007 6 20
15.3067 0.2369 0.00998 6 21
15.2926 0.2365 0.14937 6 22
15.3683 0.2362 0.26733 6 23
15.5126 0.2356 0.4799 6 24
15.6165 0.2353 0.57666 6 25
15.6694 0.2352 0.60166 6 26
15.7058 0.2352 0.6609 6 27
15.7054 0.2353 0.66926 6 28
15.7049 0.2354 0.64859 6 29
15.6914 0.2357 0.66 6 30
15.6856 0.2363 0.66194 7 1
15.6499 0.2364 0.65717 7 2
15.577 0.2364 0.67246 7 3
15.5824 0.2366 0.83683 7 4
15.6151 0.2365 0.9242 7 5
15.7271 0.2366 0.98695 7 6
15.7539 0.2368 1.27741 7 7
15.8319 0.2363 1.49191 7 8
15.9095 0.2361 1.59398 7 9
15.8952 0.2363 1.73216 7 10
15.917 0.236 1.94219 7 11
15.9311 0.2359 2.2231 7 12
15.9679 0.2359 2.33628 7 13
16.0348 0.2355 2.38127 7 14
16.0656 0.235 2.44193 7 15
16.0398 0.2345 2.41835 7 16
16.0414 0.2344 2.50968 7 17
16.0631 0.2345 2.59876 7 18
16.0753 0.2344 2.78775 7 19
16.0857 0.2346 2.99852 7 20
16.12 0.2342 2.8249 7 21
16.2201 0.2336 2.48199 7 22
16.3273 0.2326 2.3042 7 23
16.3304 0.2322 2.10745 7 24
16.3004 0.2319 2.50669 7 25
16.3187 0.2319 2.70627 7 26
16.3601 0.232 2.76253 7 27
16.3807 0.2319 2.81409 7 28
16.4013 0.2319 2.71911 7 29
16.3634 0.2322 2.20847 7 30
16.2969 0.2326 2.21467 7 31
16.2485 0.2322 2.62055 8 1
16.1867 0.2323 2.46625 8 2
16.1371 0.2332 2.38813 8 3
16.1416 0.234 2.01486 8 4
16.1643 0.2336 2.37478 8 5
16.203 0.2332 2.75149 8 6
16.2279 0.2332 2.75582 8 7
16.2566 0.2331 2.74813 8 8
16.2776 0.2328 2.27204 8 9
16.2567 0.2324 2.05761 8 10
16.2172 0.2326 2.04284 8 11
16.1799 0.2329 1.88877 8 12
16.1905 0.2329 1.88086 8 13
16.2331 0.2324 1.85586 8 14
16.1583 0.2322 1.89712 8 15
16.0312 0.2323 1.54959 8 16
15.922 0.2325 1.50848 8 17
15.8565 0.2327 1.40119 8 18
15.8447 0.2325 1.51019 8 19
15.8583 0.2323 1.37545 8 20
15.7799 0.2326 1.18564 8 21
15.7248 0.2331 1.38194 8 22
15.7295 0.2339 1.44961 8 23
15.677 0.2347 1.58764 8 24
15.5559 0.2352 1.58115 8 25
15.4689 0.2354 1.28166 8 26
15.3983 0.2354 1.27151 8 27
15.3277 0.2355 1.26778 8 28
15.1932 0.236 0.96576 8 29
15.0869 0.2362 0.95487 8 30
15.097 0.2367 0.01312 8 31
15.0961 0.237 0.00746 9 1
15.0766 0.2367 0.33008 9 2
15.0693 0.2367 0.91972 9 3
15.0503 0.2366 0.90853 9 4
14.9779 0.2368 0.83191 9 5
14.9358 0.2366 0.77117 9 6
14.9302 0.236 0.48609 9 7
14.9521 0.2356 0.01209 9 8
14.9109 0.2353 0.15914 9 9
14.8589 0.2353 0.00746 9 10
14.8745 0.235 0.00746 9 11
14.815 0.2349 0.00746 9 12
14.7802 0.235 0.01393 9 13
14.7203 0.2361 0.1863 9 14
14.661 0.2367 0.01401 9 15
14.548 0.237 0.06193 9 16
14.3862 0.2371 0.00746 9 17
14.2408 0.2371 0.00746 9 18
14.0172 0.2369 0.00746 9 19
13.8974 0.2371 0.00746 9 20
13.8312 0.2373 0.00746 9 21
13.7353 0.2372 0.00746 9 22
13.6083 0.2371 0.00746 9 23
13.4371 0.2377 0.00746 9 24
13.3042 0.2383 0.00746 9 25
13.243 0.2386 0.00746 9 26
13.1818 0.239 0.00746 9 27
13.1579 0.2394 0.00746 9 28
13.1015 0.2397 0.00746 9 29
13.1899 0.2392 0.00746 9 30
13.2467 0.2388 0.00746 10 1
13.228 0.2382 0.00746 10 2
13.1757 0.2381 0.00746 10 3
13.0738 0.2386 0.00746 10 4
12.9405 0.2394 0.00746 10 5
12.8636 0.2402 0.00746 10 6
12.7716 0.2403 0.00746 10 7
12.6508 0.2401 0.00746 10 8
12.4973 0.2398 0.00746 10 9
12.4134 0.2398 0.00746 10 10
