"year","month","Cinput_mon_Mgha","Manure_Mgha","Soil_covered","Calc_TAVG","PRCP","TM_OPE"
1940,1,0,0,0,1.14,5.8,0.6
1940,2,0,0,0,6.98,52.46,14.5
1940,3,0,0,0,12.64,0,50.6
1940,4,0,0,0,16.38,46.8,85.7
1940,5,0,0,0,20.74,44.2,145.5
1940,6,0,0,1,23.89,52.2,187.6
1940,7,0,0,1,28.11,0,-1268.4
1940,8,0,0,1,25.43,39.9,197.5
1940,9,0,0,1,23.15,18.5,146.6
1940,10,0,0,1,17.68,27.1,84.6
1940,11,0,0,0,9.05,59.7,22.5
1940,12,0,0,0,6.93,5.2,13.8
1941,1,0,0,0,6.28,14,14.1
1941,2,0,0,0,6.63,15.5,15.4
1941,3,0,0,0,8.42,90.5,28.2
1941,4,0,0,0,15.01,56.7,78.2
1941,5,0,0,0,20.29,322.3,144.2
1941,6,0.07478,0,1,23.22,104.9,181.2
1941,7,0.27097,0,1,25.16,93.5,208.2
1941,8,0.77906,0,1,25.31,46.9,197
1941,9,0.19631,0,1,21.68,113.5,133.7
1941,10,0.02858,0,1,16.74,149.7,80.8
1941,11,0.00618,0,0,10.23,4.3,30.9
1941,12,0,0,0,6.65,18.3,14.9
1942,1,0,0,0,4.06,1.1,6.7
1942,2,0,0,0,6.39,4.6,14.1
1942,3,0,0,0,10.82,12.9,41.8
1942,4,0,0,0,16.15,82.7,87.4
1942,5,0,0,0,20.65,8.8,147.7
1942,6,0.04491,0,1,25.18,44.1,206.6
1942,7,0.09482,0,1,25.39,65.6,211.1
1942,8,0.10035,0,1,24.41,126.3,185.4
1942,9,0.04883,0,1,19.59,193.4,112.6
1942,10,0.00483,0,1,15.09,86.2,67.6
1942,11,0.00132,0,0,12.55,0.3,42.6
1942,12,0,0,0,5.95,71.1,12.1
1943,1,0,0,0,5.48,1,9.8
1943,2,0,0,0,8.94,0.6,22.8
1943,3,0,0,0,10.2,6.3,35.4
1943,4,0,0,0,18.35,13.5,105.1
1943,5,0,0,0,20.02,68.9,137.5
1943,6,0.02174,0,1,25,60.1,203.3
1943,7,0.04553,0,1,25.97,80.6,218.8
1943,8,0.11963,0,1,27.94,0,-1181.7
1943,9,0.01381,0,1,21.93,29.5,133.9
1943,10,0.03761,0,1,15.55,2.6,68.3
1943,11,0.00873,0,0,8.94,15.7,22.5
1943,12,0,0,0,4.43,47.5,6.5
1944,1,0,0,0,5.05,32.5,8.8
1944,2,0,0,0,7.95,34.7,19
1944,3,0,0,0,10.84,27.7,40
1944,4,0,0,0,15.38,21.3,78.3
1944,5,0,0,0,20.37,77,142.4
1944,6,0.01022,0,1,25.98,44.4,217.3
1944,7,0.0193,0,1,26.01,74.5,219.4
1944,8,0.07703,0,1,26.24,60.3,208.7
1944,9,0.01518,0,1,21.42,94.7,129.1
1944,10,0.06223,0,1,16.61,20.3,77.2
1944,11,0.00022,0,0,10.23,43.8,28.9
1944,12,0,0,0,3.76,41.7,5.1
1945,1,0,0,0,5.1,17.4,9.2
1945,2,0,0,0,7.73,9.9,18.5
1945,3,0,0,0,12.78,2.5,53.7
1945,4,0,0,0,14.29,11.7,69.8
1945,5,0,0,0,22.42,11.7,168.2
1945,6,0.00466,0,1,25.42,9.1,209.5
1945,7,0.04174,0,1,24.99,78.2,205.2
1945,8,0.03402,0,1,25.68,55,201.3
1945,9,0.06346,0,1,22.27,56.4,138.3
1945,10,0.03474,0,1,14.02,57.4,58.5
1945,11,3e-04,0,0,10.02,6.9,28.3
1945,12,0,0,0,3.72,8.2,5.2
1946,1,0,0,0,3.47,29.9,4
1946,2,0,0,0,7.7,3.8,16.4
1946,3,0,0,0,12.47,19.4,48.1
1946,4,0,0,0,19.49,1.8,114.6
1946,5,0,0,0,19.9,37.9,134
1946,6,0.0658,0,1,25.26,69.1,206.4
1946,7,0.09472,0,1,27.12,14.7,-1226.7
1946,8,0.07185,0,1,26.79,90.2,216.4
1946,9,0.02438,0,1,21.31,91.2,125.9
1946,10,0.0484,0,1,17.13,118.7,78.8
1946,11,0.00076,0,0,9.9,11.2,25.4
1946,12,0,0,0,8.01,26.4,17
