Crop_Name,Scenario,Scen_Name,sequence_years,time_period,start,end,dndc_event,date2,dndc_plant_type1,initialbiomass,till_depth_m,n_rate_kg_ha,remains,covercrop,dndc_plant_type
Maize,0,historic,1,1950:1970,1950,1970,till,05-01,,,0.11,,,,
Maize,0,historic,1,1950:1970,1950,1970,plant,05-04,FOCO,120,,,,no,foco
Maize,0,historic,1,1950:1970,1950,1970,harvest,08-30,FOCO,,,,0.1,no,foco
Maize,0,historic,1,1950:1970,1950,1970,fertilize,10-31,,,,22,,,
Maize,0,historic,1,1971:2021,1971,2021,till,05-01,,,0.11,,,,
Maize,0,historic,1,1971:2021,1971,2021,plant,05-04,FOCO,120,,,,no,foco
Maize,0,historic,1,1971:2021,1971,2021,harvest,08-30,FOCO,,,,0.1,no,foco
Maize,0,historic,1,1971:2021,1971,2021,fertilize,10-31,,,,120,,,
Maize,1,monocrop,1,2022:2050,2022,2050,fertilize,04-21,,,,168,,,
Maize,1,monocrop,1,2022:2050,2022,2050,till,05-01,,,0.11,,,,
Maize,1,monocrop,1,2022:2050,2022,2050,plant,05-04,FOCO,120,,,,no,foco
Maize,1,monocrop,1,2022:2050,2022,2050,harvest,08-30,FOCO,,,,0.1,no,foco
Maize,2,notill,1,2022:2050,2022,2050,fertilize,04-21,,,,168,,,
Maize,2,notill,1,2022:2050,2022,2050,till,05-01,,,0,,,,
Maize,2,notill,1,2022:2050,2022,2050,plant,05-04,FOCO,120,,,,no,foco
Maize,2,notill,1,2022:2050,2022,2050,harvest,08-30,FOCO,,,,0.1,no,foco
Maize,3,cover_mix,1,2022:2050,2022,2050,fertilize,04-21,,,,168,,,
Maize,3,cover_mix,1,2022:2050,2022,2050,till,05-01,,,0.11,,,,
Maize,3,cover_mix,1,2022:2050,2022,2050,plant,05-04,FOCO,120,,,,no,foco
Maize,3,cover_mix,1,2022:2050,2022,2050,harvest,08-30,FOCO,,,,0.1,no,foco
Maize,3,cover_mix,1,2022:2050,2022,2050,till,10-29,,,0.11,,,,
Maize,3,cover_mix,1,2022:2050,2022,2050,plant,11-01,SRAPE,120,,,,yes,srape
Maize,3,cover_mix,1,2022:2050,2022,2050,plant,11-01,COWP,120,,,,yes,cowp
Maize,3,cover_mix,1,2022:2050,2022,2050,plant,11-01,WINTERRYE,120,,,,yes,winterrye
Maize,4,cover_rye,1,2022:2050,2022,2050,fertilize,04-21,,,,168,,,
Maize,4,cover_rye,1,2022:2050,2022,2050,till,05-01,,,0.11,,,,
Maize,4,cover_rye,1,2022:2050,2022,2050,plant,05-04,FOCO,120,,,,no,foco
Maize,4,cover_rye,1,2022:2050,2022,2050,harvest,08-30,FOCO,,,,0.1,no,foco
Maize,4,cover_rye,1,2022:2050,2022,2050,till,10-29,,,0.11,,,,
