"","GEOID","value","year","doy","variable","model"
"1",37017,0,1951,1,"prcp","nclim"
"2",37017,0,1951,2,"prcp","nclim"
"3",37017,0,1951,3,"prcp","nclim"
"4",37017,0.00141576656387009,1951,4,"prcp","nclim"
"5",37017,0,1951,5,"prcp","nclim"
"6",37017,0,1951,6,"prcp","nclim"
"7",37017,0.0939973003299134,1951,7,"prcp","nclim"
"8",37017,0.275107316082207,1951,8,"prcp","nclim"
"9",37017,0,1951,9,"prcp","nclim"
"10",37017,0,1951,10,"prcp","nclim"
"11",37017,0.347794556042718,1951,11,"prcp","nclim"
"12",37017,0.0014577961813996,1951,12,"prcp","nclim"
"13",37017,0,1951,13,"prcp","nclim"
"14",37017,0.0984793120917283,1951,14,"prcp","nclim"
"15",37017,0.511988718607804,1951,15,"prcp","nclim"
"16",37017,0,1951,16,"prcp","nclim"
"17",37017,0,1951,17,"prcp","nclim"
"18",37017,0,1951,18,"prcp","nclim"
"19",37017,0,1951,19,"prcp","nclim"
"20",37017,0,1951,20,"prcp","nclim"
"21",37017,0,1951,21,"prcp","nclim"
"22",37017,0,1951,22,"prcp","nclim"
"23",37017,0,1951,23,"prcp","nclim"
"24",37017,0.302393510158884,1951,24,"prcp","nclim"
"25",37017,0.136823694215185,1951,25,"prcp","nclim"
"26",37017,0,1951,26,"prcp","nclim"
"27",37017,0,1951,27,"prcp","nclim"
"28",37017,0,1951,28,"prcp","nclim"
"29",37017,0,1951,29,"prcp","nclim"
"30",37017,0,1951,30,"prcp","nclim"
"31",37017,0.153837891389658,1951,31,"prcp","nclim"
"32",37017,0.177623127609855,1951,32,"prcp","nclim"
"33",37017,0.37127560870365,1951,33,"prcp","nclim"
"34",37017,0.0577780921028388,1951,34,"prcp","nclim"
"35",37017,0.000718205596096424,1951,35,"prcp","nclim"
"36",37017,0,1951,36,"prcp","nclim"
"37",37017,0,1951,37,"prcp","nclim"
"38",37017,0.546298693904478,1951,38,"prcp","nclim"
"39",37017,0.286949826566704,1951,39,"prcp","nclim"
"40",37017,0,1951,40,"prcp","nclim"
"41",37017,0.238296429130155,1951,41,"prcp","nclim"
"42",37017,0,1951,42,"prcp","nclim"
"43",37017,0,1951,43,"prcp","nclim"
"44",37017,0,1951,44,"prcp","nclim"
"45",37017,0,1951,45,"prcp","nclim"
"46",37017,0,1951,46,"prcp","nclim"
"47",37017,0,1951,47,"prcp","nclim"
"48",37017,0.53117478583073,1951,48,"prcp","nclim"
"49",37017,0.163579485972999,1951,49,"prcp","nclim"
"50",37017,0,1951,50,"prcp","nclim"
"51",37017,0,1951,51,"prcp","nclim"
"52",37017,0.489632056461394,1951,52,"prcp","nclim"
"53",37017,0,1951,53,"prcp","nclim"
"54",37017,0,1951,54,"prcp","nclim"
"55",37017,0,1951,55,"prcp","nclim"
"56",37017,0,1951,56,"prcp","nclim"
"57",37017,0,1951,57,"prcp","nclim"
"58",37017,0,1951,58,"prcp","nclim"
"59",37017,0,1951,59,"prcp","nclim"
"60",37017,0,1951,60,"prcp","nclim"
"61",37017,0,1951,61,"prcp","nclim"
"62",37017,0,1951,62,"prcp","nclim"
"63",37017,0,1951,63,"prcp","nclim"
